SED_IB,Length_ft,BoardFeet
35,30,1640.0
36,30,1730.0
37,30,1930.0
38,30,2000.0
39,30,2100.0
40,30,2260.0
41,30,2380.0
42,30,2520.0
43,30,2620.0
44,30,2780.0
45,30,2850.0
46,30,2970.0
47,30,3110.0
48,30,3240.0
49,30,3370.0
50,30,3510.0
51,30,3650.0
52,30,3800.0
53,30,3950.0
54,30,4100.0
55,30,4250.0
56,30,4410.0
57,30,4570.0
58,30,4730.0
59,30,4900.0
60,30,5070.0
61,30,5200.0
62,30,5360.0
63,30,5510.0
64,30,5670.0
65,30,5830.0
66,30,5980.0
67,30,6140.0
68,30,6290.0
69,30,6450.0
70,30,6600.0
4,31,20.0
5,31,30.0
6,31,40.0
7,31,50.0
8,31,60.0
9,31,70.0
10,31,110.0
11,31,130.0
12,31,150.0
13,31,190.0
14,31,220.0
15,31,280.0
16,31,310.0
17,31,360.0
18,31,410.0
19,31,460.0
20,31,540.0
21,31,590.0
22,31,650.0
23,31,730.0
24,31,780.0
25,31,890.0
26,31,970.0
27,31,1060.0
28,31,1130.0
29,31,1180.0
30,31,1270.0
31,31,1380.0
32,31,1430.0
33,31,1520.0
34,31,1550.0
35,31,1700.0
36,31,1790.0
37,31,1990.0
38,31,2070.0
39,31,2170.0
40,31,2330.0
41,31,2460.0
42,31,2600.0
43,31,2700.0
44,31,2870.0
45,31,2940.0
46,31,3070.0
47,31,3210.0
48,31,3350.0
49,31,3480.0
50,31,3630.0
51,31,3770.0
52,31,3920.0
53,31,4080.0
54,31,4230.0
55,31,4390.0
56,31,4550.0
57,31,4720.0
58,31,4890.0
59,31,5060.0
60,31,5240.0
61,31,5370.0
62,31,5530.0
63,31,5700.0
64,31,5860.0
65,31,6020.0
66,31,6180.0
67,31,6340.0
68,31,6500.0
69,31,6660.0
70,31,6820.0
4,32,20.0
5,32,30.0
6,32,50.0
7,32,60.0
8,32,70.0
9,32,90.0
10,32,120.0
11,32,140.0
12,32,160.0
13,32,190.0
14,32,230.0
15,32,280.0
16,32,320.0
17,32,370.0
18,32,430.0
19,32,480.0
20,32,560.0
21,32,610.0
22,32,670.0
23,32,750.0
24,32,840.0
25,32,920.0
26,32,1000.0
27,32,1100.0
28,32,1160.0
29,32,1220.0
30,32,1310.0
31,32,1420.0
32,32,1470.0
33,32,1570.0
34,32,1600.0
35,32,1750.0
36,32,1850.0
37,32,2060.0
38,32,2140.0
39,32,2240.0
40,32,2410.0
41,32,2540.0
42,32,2690.0
43,32,2790.0
44,32,2960.0
45,32,3040.0
46,32,3170.0
47,32,3310.0
48,32,3460.0
49,32,3590.0
50,32,3740.0
51,32,3890.0
52,32,4050.0
53,32,4210.0
54,32,4370.0
55,32,4530.0
56,32,4700.0
57,32,4870.0
58,32,5050.0
59,32,5230.0
60,32,5410.0
61,32,5550.0
62,32,5720.0
63,32,5890.0
64,32,6050.0
65,32,6220.0
66,32,6390.0
67,32,6550.0
68,32,6720.0
69,32,6890.0
70,32,7050.0
4,33,20.0
5,33,30.0
6,33,50.0
7,33,60.0
8,33,70.0
9,33,100.0
10,33,130.0
11,33,150.0
12,33,160.0
13,33,200.0
14,33,240.0
15,33,290.0
16,33,330.0
17,33,380.0
18,33,440.0
19,33,490.0
20,33,580.0
21,33,630.0
22,33,690.0
23,33,780.0
24,33,930.0
25,33,950.0
26,33,1030.0
27,33,1130.0
28,33,1200.0
29,33,1260.0
30,33,1350.0
31,33,1460.0
32,33,1520.0
33,33,1620.0
34,33,1650.0
35,33,1800.0
36,33,1900.0
37,33,2120.0
38,33,2200.0
39,33,2310.0
40,33,2480.0
41,33,2620.0
42,33,2770.0
43,33,2880.0
44,33,3050.0
45,33,3130.0
46,33,3270.0
47,33,3420.0
48,33,3560.0
49,33,3710.0
50,33,3860.0
51,33,4010.0
52,33,4180.0
53,33,4340.0
54,33,4500.0
55,33,4670.0
56,33,4850.0
57,33,5020.0
58,33,5200.0
59,33,5390.0
60,33,5580.0
61,33,5720.0
62,33,5890.0
63,33,6060.0
64,33,6240.0
65,33,6410.0
66,33,6580.0
67,33,6750.0
68,33,6920.0
69,33,7100.0
70,33,7270.0
4,34,20.0
5,34,40.0
6,34,50.0
7,34,60.0
8,34,70.0
9,34,100.0
10,34,130.0
11,34,150.0
12,34,170.0
13,34,210.0
14,34,240.0
15,34,300.0
16,34,340.0
17,34,390.0
18,34,450.0
19,34,510.0
20,34,590.0
21,34,650.0
22,34,710.0
23,34,800.0
24,34,860.0
25,34,980.0
26,34,1060.0
27,34,1160.0
28,34,1240.0
29,34,1290.0
30,34,1400.0
31,34,1510.0
32,34,1560.0
33,34,1670.0
34,34,1700.0
35,34,1860.0
36,34,1960.0
37,34,2190.0
38,34,2270.0
39,34,2380.0
40,34,2560.0
41,34,2700.0
42,34,2850.0
43,34,2960.0
44,34,3150.0
45,34,3230.0
46,34,3370.0
47,34,3520.0
48,34,3670.0
49,34,3820.0
50,34,3980.0
51,34,4140.0
52,34,4300.0
53,34,4470.0
54,34,4640.0
55,34,4810.0
56,34,5000.0
57,34,5180.0
58,34,5360.0
59,34,5550.0
60,34,5750.0
61,34,5900.0
62,34,6070.0
63,34,6250.0
64,34,6430.0
65,34,6600.0
66,34,6780.0
67,34,6960.0
68,34,7130.0
69,34,7310.0
70,34,7490.0
4,35,20.0
5,35,40.0
6,35,50.0
7,35,60.0
8,35,80.0
9,35,100.0
10,35,130.0
11,35,160.0
12,35,170.0
13,35,210.0
14,35,250.0
15,35,310.0
16,35,350.0
17,35,400.0
18,35,470.0
19,35,520.0
20,35,610.0
21,35,660.0
22,35,730.0
23,35,820.0
24,35,880.0
25,35,1000.0
26,35,1090.0
27,35,1200.0
28,35,1270.0
29,35,1330.0
30,35,1440.0
31,35,1550.0
32,35,1610.0
33,35,1710.0
34,35,1750.0
35,35,1910.0
36,35,2020.0
37,35,2250.0
38,35,2340.0
39,35,2450.0
40,35,2630.0
41,35,2780.0
42,35,2940.0
43,35,3050.0
44,35,3240.0
45,35,3320.0
46,35,3470.0
47,35,3620.0
48,35,3780.0
49,35,3930.0
50,35,4090.0
51,35,4260.0
52,35,4430.0
53,35,4600.0
54,35,4780.0
55,35,4960.0
56,35,5140.0
57,35,5330.0
58,35,5520.0
59,35,5720.0
60,35,5910.0
61,35,6070.0
62,35,6250.0
63,35,6430.0
64,35,6620.0
65,35,6800.0
66,35,6980.0
67,35,7160.0
68,35,7340.0
69,35,7530.0
70,35,7710.0
4,36,20.0
5,36,40.0
6,36,60.0
7,36,60.0
8,36,80.0
9,36,100.0
10,36,140.0
11,36,160.0
12,36,180.0
13,36,220.0
14,36,260.0
15,36,320.0
16,36,360.0
17,36,420.0
18,36,480.0
19,36,540.0
20,36,630.0
21,36,680.0
22,36,750.0
23,36,850.0
24,36,910.0
25,36,1030.0
26,36,1120.0
27,36,1230.0
28,36,1310.0
29,36,1370.0
30,36,1480.0
31,36,1600.0
32,36,1660.0
33,36,1760.0
